,player_name,player_total_points,player_raids_total,player_raid_points_touch,player_raid_points_raid_bonus,player_tackle_points_total,player_tackle_points_touch,player_raids_successful,player_raids_unsuccessful,player_raids_Empty
0,A Arul,0,0,0,0,0,0,0,0,0
1,Aakash Dattu Arsul,0,0,0,0,0,0,0,0,0
2,Aashish Nagar,1,0,0,0,1,1,0,0,0
3,Abdul Shaikh,8,14,7,1,0,0,6,2,6
4,Abhilasha Mhatre,18,50,9,1,8,7,9,11,30
5,Abhinandan Chandel,0,0,0,0,0,0,0,0,0
6,Abhinandan Kumar,0,0,0,0,0,0,0,0,0
7,Abhinandhan Kumar,12,14,8,1,3,2,7,4,3
8,Abhishek CR,0,0,0,0,0,0,0,0,0
9,Abhishek N,0,2,0,0,0,0,0,1,1
10,Abhishek Singh,130,293,112,11,7,7,106,55,132
11,Abid Hussain,4,15,4,0,0,0,3,4,8
12,Abolfazel Maghsodlo,25,39,19,6,0,0,18,15,6
13,Abolfazl Maghsodlou,97,230,71,20,6,5,80,47,103
14,Abolfazl Maghsodloumahali,31,92,24,5,2,2,23,27,42
15,Abolfazl Maghsoudlou,18,30,11,6,1,1,13,5,12
16,Abozar Mighani,89,18,3,4,82,80,5,2,11
17,Abozar Mohajermighani,93,32,0,1,92,80,0,2,30
18,Abul Kalam Azad,8,10,7,0,1,1,6,0,4
19,Adam Schneider,23,54,15,6,2,1,20,17,17
20,Adarsh T,15,1,2,0,13,10,1,0,0
21,Adinath Gavali,1,0,0,0,1,1,0,0,0
22,Afshin Jafari,12,9,6,1,5,5,5,3,1
23,Agustina Siregar,0,0,0,0,0,0,0,0,0
24,Ajay,6,0,0,0,6,6,0,0,0
25,Ajay Kumar,185,463,148,36,1,1,145,103,215
26,Ajay Narwal,0,0,0,0,0,0,0,0,0
27,Ajay Singh,1,0,0,0,1,1,0,0,0
28,Ajay Thakur,999,1857,763,150,86,86,761,397,696
29,Ajeet,14,0,0,0,14,13,0,0,0
30,Ajinkya Kapre,1,5,0,1,0,0,1,2,2
31,Ajinkya Pawar,94,223,79,11,4,3,74,65,84
32,Ajit Singh,32,76,19,13,0,0,24,15,37
33,Ajvender Singh,1,1,0,0,1,1,0,0,1
34,Akash Choudhary,0,0,0,0,0,0,0,0,0
35,Akash Pawar,0,0,0,0,0,0,0,0,0
36,Akash Sood,0,0,0,0,0,0,0,0,0
37,Akhil Ashokan,0,0,0,0,0,0,0,0,0
38,Akhlaq Hussain,7,1,0,0,7,6,0,0,1
39,Akshay Bodake,1,0,0,0,1,1,0,0,0
40,Akshay Jadhav,62,147,24,13,25,22,35,35,77
41,Aman,1,0,0,0,1,1,0,0,0
42,Aman Kadian,2,7,1,1,0,0,1,3,3
43,Aman Kumar,2,0,0,0,2,2,0,0,0
44,Amandeep Kaur,0,0,0,0,0,0,0,0,0
45,Amaresh Mondal,0,0,0,0,0,0,0,0,0
46,Amarjeeth Singh,24,22,17,3,4,2,16,2,4
47,Ameares Mondal,0,3,0,0,0,0,0,1,2
48,Amin Nosrati,8,24,2,5,1,1,6,7,11
49,Amir Dhumal,0,0,0,0,0,0,0,0,0
50,Amirhossein Maleki,9,20,6,3,0,0,6,9,5
51,Amit,28,14,2,0,26,22,1,0,13
52,Amit Chhillar,12,1,0,0,12,11,0,0,1
53,Amit Hooda,232,53,5,4,223,205,4,10,39
54,Amit Kharb,0,0,0,0,0,0,0,0,0
55,Amit Kumar,111,234,42,17,52,48,40,65,129
56,Amit Kumar Arya,15,18,9,4,2,2,9,3,6
57,Amit Nagar,23,42,15,2,6,6,16,11,15
58,Amit Rathi,52,110,37,9,6,4,33,27,50
59,Amit Sheoran,70,1,0,0,70,65,0,1,0
60,Amit Singh,0,0,0,0,0,0,0,0,0
61,Amit Singh Chhillar,16,5,1,0,15,15,1,1,3
62,Amit Singh Chillar,5,0,0,0,5,5,0,0,0
63,Anand,14,28,13,1,0,0,10,8,10
64,Anand Patil,47,157,35,12,0,0,34,48,75
65,Anand Surendra Tomar,9,20,3,5,1,1,7,8,5
66,Anand V,3,15,1,2,0,0,3,5,7
67,Anil,0,6,0,0,0,0,0,1,5
68,Anil Kashinath Patil,9,21,4,5,0,0,7,6,8
69,Anil Kumar,101,47,2,3,96,87,3,7,37
70,Anil Shriram Nimbolkar,19,38,12,3,4,2,9,13,16
71,Anil Singh,0,0,0,0,0,0,0,0,0
72,Aniwat Phakphian,4,3,3,0,1,1,3,0,0
73,Anju Devi,0,1,0,0,0,0,0,1,0
74,Ankit,18,8,0,0,18,16,1,0,7
75,Ankit Bazzad,1,3,1,0,0,0,1,2,0
76,Ankit Beniwal,7,16,4,2,1,1,4,8,4
77,Ankit Malik,0,0,0,0,0,0,0,0,0
78,Ankit Sangwan,0,0,0,0,0,0,0,0,0
79,Ankush,6,5,4,1,1,1,4,1,0
80,Anoop E.V.,2,0,0,0,2,2,0,0,0
81,Anuj Kumar,6,5,1,0,5,4,1,0,4
82,Anup Kumar,667,1427,413,147,107,101,450,211,765
83,Arbinda Khuntia,1,1,0,0,1,1,0,1,0
84,Arif Sayyad,0,0,0,0,0,0,0,0,0
85,Arjun Deshwal,75,144,63,10,2,2,57,34,53
86,Arkam Shaikh,0,0,0,0,0,0,0,0,0
87,Armaan,24,55,16,6,2,1,17,21,17
88,Aruduzzaman Munshi,52,70,35,17,0,0,46,6,18
89,Arumugam,22,32,21,1,0,0,18,7,7
90,Arun Kumar HN,3,9,1,2,0,0,2,6,1
91,Arvind Baliyan,0,0,0,0,0,0,0,0,0
92,Arvind Kumar,1,0,0,0,1,1,0,0,0
93,Ashish,5,16,3,2,0,0,3,8,5
94,Ashish Chhokar,25,65,16,5,4,4,13,18,34
95,Ashish Kumar,124,166,21,17,86,73,34,31,101
96,Ashish Sangwan,32,19,2,5,25,25,5,3,11
97,Ashu Singh,24,0,0,0,24,24,0,0,0
98,Athul M S,8,14,8,0,0,0,6,6,2
99,Athul MS,90,191,59,30,1,1,71,71,49
100,Atif Waheed,0,0,0,0,0,0,0,0,0
101,Avnish Kumar,0,5,0,0,0,0,0,2,3
102,Azad Singh,28,71,16,10,2,2,19,22,30
103,Azadeh Saidisiahbidi,5,6,4,0,1,1,2,1,3
104,Babu M,2,0,0,0,2,2,0,0,0
105,Bajirao Hodage,84,5,0,0,84,81,0,0,5
106,Bajrang,0,0,0,0,0,0,0,0,0
